Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(21) Mall Cimahi 6,(71) Stasiun Indramayu 27,68.56
(43) Terminal Tasikmalaya 56,(81) Terminal Cicaheum,6.36
(20) RS Santo Borromeus,(26) Wisata Subang 54,45.78
(15) Mall Tasikmalaya 40,(8) Cihampelas Walk,91.13
(12) Mall Cimahi 16,(31) Terminal Lembang 14,9.98
(88) Terminal Subang 12,(81) Terminal Cicaheum,46.7
(42) Terminal Cirebon 34,(47) Alun-Alun Bandung,102.93
(56) Paris Van Java,(59) Hotel Soreang 51,63.89
(89) Institut Teknologi Bandung,(83) Stasiun Garut 58,135.84
(90) Alun-Alun Cianjur 28,(1) Bandung Indah Plaza,72.42
(18) Dago Pakar,(22) Paskal Hyper Square,88.0
(57) Terminal Leuwipanjang,(25) Universitas Soreang 20,127.6
(77) RS Santosa Bandung,(65) Babakan Siliwangi,58.83
(44) Festival Citylink,(11) Braga Citywalk,3.07
(36) Kings Shopping Center,(87) Alun-Alun Soreang 37,81.38
(94) Mall Purwakarta 39,(95) Trans Studio Bandung,121.72
(85) Universitas Padjadjaran,(94) Mall Purwakarta 39,52.08
(26) Wisata Subang 54,(34) Hotel Kuningan 7,28.05
(53) Hotel Lembang 23,(86) Mall Indramayu 8,45.77
(91) Universitas Sumedang 55,(34) Hotel Kuningan 7,58.49
(96) RS Hermina,(63) Stasiun Subang 26,43.94
(83) Stasiun Garut 58,(50) Lapangan Tegalega,79.85
(70) Dago Dreampark,(37) Kiara Artha Park,115.42
(32) Hotel Tasikmalaya 52,(22) Paskal Hyper Square,116.87
(91) Universitas Sumedang 55,(96) RS Hermina,89.58
(26) Wisata Subang 54,(86) Mall Indramayu 8,109.67
(53) Hotel Lembang 23,(69) Bandung Trade Centre,73.3
(17) Universitas Purwakarta 22,(1) Bandung Indah Plaza,126.25
(81) Terminal Cicaheum,(39) Terminal Soreang 2,39.45
(69) Bandung Trade Centre,(44) Festival Citylink,71.81
(66) Wisata Lembang 18,(76) Mall Soreang 25,89.33
(73) Metro Indah Mall,(44) Festival Citylink,82.8
(49) Alun-Alun Cirebon 4,(56) Paris Van Java,148.83
(80) Alun-Alun Bandung 36,(99) Curug Dago,144.45
(22) Paskal Hyper Square,(13) Terminal Lembang 29,66.57
(98) Wisata Subang 49,(94) Mall Purwakarta 39,86.42
(90) Alun-Alun Cianjur 28,(75) Stasiun Lembang 35,23.4
(40) Terminal Rancaekek 21,(21) Mall Cimahi 6,141.91
(76) Mall Soreang 25,(96) RS Hermina,111.84
(14) Universitas Telkom,(83) Stasiun Garut 58,22.7
(56) Paris Van Java,(44) Festival Citylink,31.67
(73) Metro Indah Mall,(71) Stasiun Indramayu 27,123.53
(58) Hotel Lembang 48,(24) Alun-Alun Cianjur 3,27.67
(87) Alun-Alun Soreang 37,(28) GBLA Stadium,82.95
(5) Wisata Cirebon 45,(33) Hotel Cirebon 57,18.75
(75) Stasiun Lembang 35,(2) Mall Sumedang 38,113.18
(83) Stasiun Garut 58,(31) Terminal Lembang 14,21.98
(21) Mall Cimahi 6,(73) Metro Indah Mall,68.68
(12) Mall Cimahi 16,(77) RS Santosa Bandung,103.43
(10) Tahura Djuanda,(59) Hotel Soreang 51,18.97
(10) Tahura Djuanda,(74) Teras Cikapundung,70.47
(27) Stasiun Bandung,(87) Alun-Alun Soreang 37,69.06
(64) Universitas Soreang 1,(34) Hotel Kuningan 7,92.37
(36) Kings Shopping Center,(38) Alun-Alun Purwakarta 11,87.69
(45) Terminal Purwakarta 53,(86) Mall Indramayu 8,70.63
(20) RS Santo Borromeus,(29) RS Al Islam,121.32
(22) Paskal Hyper Square,(31) Terminal Lembang 14,116.54
(38) Alun-Alun Purwakarta 11,(51) Museum Asia Afrika,113.91
(61) Mall Sumedang 5,(23) Summarecon Mall Bandung,31.7
(76) Mall Soreang 25,(61) Mall Sumedang 5,34.17
(37) Kiara Artha Park,(91) Universitas Sumedang 55,22.54
(4) Wisata Cirebon 30,(94) Mall Purwakarta 39,118.03
(27) Stasiun Bandung,(59) Hotel Soreang 51,73.63
(90) Alun-Alun Cianjur 28,(81) Terminal Cicaheum,48.52
(71) Stasiun Indramayu 27,(3) Terminal Cimahi 44,17.32
(13) Terminal Lembang 29,(32) Hotel Tasikmalaya 52,6.56
(31) Terminal Lembang 14,(19) RS Majalengka 41,10.19
(6) Kebun Binatang Bandung,(11) Braga Citywalk,43.3
(86) Mall Indramayu 8,(50) Lapangan Tegalega,95.94
(7) Masjid Raya Bandung,(21) Mall Cimahi 6,117.76
(94) Mall Purwakarta 39,(49) Alun-Alun Cirebon 4,118.33
(19) RS Majalengka 41,(4) Wisata Cirebon 30,39.8
(56) Paris Van Java,(15) Mall Tasikmalaya 40,145.98
(6) Kebun Binatang Bandung,(20) RS Santo Borromeus,83.88
(76) Mall Soreang 25,(68) Universitas Garut 59,116.78
(18) Dago Pakar,(6) Kebun Binatang Bandung,84.52
(7) Masjid Raya Bandung,(83) Stasiun Garut 58,76.91
(96) RS Hermina,(34) Hotel Kuningan 7,79.83
(94) Mall Purwakarta 39,(49) Alun-Alun Cirebon 4,140.56
(8) Cihampelas Walk,(65) Babakan Siliwangi,46.65
(19) RS Majalengka 41,(13) Terminal Lembang 29,137.84
(77) RS Santosa Bandung,(16) Stasiun Indramayu 9,39.1
(46) Bandung Electronic Center,(49) Alun-Alun Cirebon 4,84.48
(13) Terminal Lembang 29,(16) Stasiun Indramayu 9,64.71
(91) Universitas Sumedang 55,(20) RS Santo Borromeus,32.58
(59) Hotel Soreang 51,(69) Bandung Trade Centre,34.45
(27) Stasiun Bandung,(35) Terminal Lembang 17,8.22
(51) Museum Asia Afrika,(9) Terminal Sumedang 46,29.64
(77) RS Santosa Bandung,(35) Terminal Lembang 17,1.81
(84) Saung Angklung Udjo,(81) Terminal Cicaheum,21.33
(72) Hotel Cianjur 31,(65) Babakan Siliwangi,97.3
(80) Alun-Alun Bandung 36,(98) Wisata Subang 49,51.9
(9) Terminal Sumedang 46,(2) Mall Sumedang 38,86.66
(82) RS Hasan Sadikin,(25) Universitas Soreang 20,44.93
(77) RS Santosa Bandung,(68) Universitas Garut 59,9.57
(59) Hotel Soreang 51,(66) Wisata Lembang 18,129.39
(66) Wisata Lembang 18,(48) Gasibu,124.5
(22) Paskal Hyper Square,(24) Alun-Alun Cianjur 3,117.65
(17) Universitas Purwakarta 22,(89) Institut Teknologi Bandung,27.47
(69) Bandung Trade Centre,(10) Tahura Djuanda,12.16
(61) Mall Sumedang 5,(13) Terminal Lembang 29,81.56
(83) Stasiun Garut 58,(30) Stasiun Kiaracondong,133.61
(96) RS Hermina,(66) Wisata Lembang 18,138.56
(43) Terminal Tasikmalaya 56,(79) Hotel Tasikmalaya 33,148.19
(2) Mall Sumedang 38,(64) Universitas Soreang 1,85.69
(38) Alun-Alun Purwakarta 11,(49) Alun-Alun Cirebon 4,93.95
(17) Universitas Purwakarta 22,(52) Museum Geologi,145.63
(47) Alun-Alun Bandung,(62) Stasiun Kuningan 19,128.29
(83) Stasiun Garut 58,(44) Festival Citylink,112.39
(15) Mall Tasikmalaya 40,(82) RS Hasan Sadikin,77.9
(74) Teras Cikapundung,(53) Hotel Lembang 23,115.65
(34) Hotel Kuningan 7,(59) Hotel Soreang 51,11.88
(54) Stasiun Kuningan 13,(89) Institut Teknologi Bandung,79.62
(44) Festival Citylink,(12) Mall Cimahi 16,41.91
(50) Lapangan Tegalega,(93) Stasiun Majalengka 10,69.62
(55) RS Tasikmalaya 50,(28) GBLA Stadium,63.88
(43) Terminal Tasikmalaya 56,(80) Alun-Alun Bandung 36,43.56
(86) Mall Indramayu 8,(85) Universitas Padjadjaran,69.03
(10) Tahura Djuanda,(60) Gedung Sate,124.66
(68) Universitas Garut 59,(82) RS Hasan Sadikin,52.37
(50) Lapangan Tegalega,(70) Dago Dreampark,12.32
(11) Braga Citywalk,(18) Dago Pakar,12.27
(45) Terminal Purwakarta 53,(51) Museum Asia Afrika,58.37
(33) Hotel Cirebon 57,(44) Festival Citylink,40.95
(74) Teras Cikapundung,(68) Universitas Garut 59,83.08
(52) Museum Geologi,(60) Gedung Sate,103.8
(25) Universitas Soreang 20,(70) Dago Dreampark,142.44
(59) Hotel Soreang 51,(15) Mall Tasikmalaya 40,110.31
(59) Hotel Soreang 51,(23) Summarecon Mall Bandung,33.41
(29) RS Al Islam,(79) Hotel Tasikmalaya 33,23.06
(11) Braga Citywalk,(30) Stasiun Kiaracondong,89.32
(1) Bandung Indah Plaza,(58) Hotel Lembang 48,37.55
(25) Universitas Soreang 20,(7) Masjid Raya Bandung,64.24
(3) Terminal Cimahi 44,(72) Hotel Cianjur 31,5.38
(64) Universitas Soreang 1,(9) Terminal Sumedang 46,134.36
(86) Mall Indramayu 8,(62) Stasiun Kuningan 19,149.76
(58) Hotel Lembang 48,(75) Stasiun Lembang 35,82.52
(44) Festival Citylink,(57) Terminal Leuwipanjang,30.85
(19) RS Majalengka 41,(86) Mall Indramayu 8,87.15
(80) Alun-Alun Bandung 36,(71) Stasiun Indramayu 27,64.5
(88) Terminal Subang 12,(95) Trans Studio Bandung,146.97
(1) Bandung Indah Plaza,(12) Mall Cimahi 16,82.7
(33) Hotel Cirebon 57,(57) Terminal Leuwipanjang,87.22
(37) Kiara Artha Park,(26) Wisata Subang 54,130.9
(66) Wisata Lembang 18,(21) Mall Cimahi 6,20.24
(57) Terminal Leuwipanjang,(10) Tahura Djuanda,73.15
(89) Institut Teknologi Bandung,(40) Terminal Rancaekek 21,113.74
(19) RS Majalengka 41,(98) Wisata Subang 49,148.72
(59) Hotel Soreang 51,(53) Hotel Lembang 23,8.03
(7) Masjid Raya Bandung,(57) Terminal Leuwipanjang,113.87
(9) Terminal Sumedang 46,(25) Universitas Soreang 20,71.03
(98) Wisata Subang 49,(87) Alun-Alun Soreang 37,57.24
(44) Festival Citylink,(0) Wisata Garut 42,126.36
(75) Stasiun Lembang 35,(73) Metro Indah Mall,19.8
(11) Braga Citywalk,(93) Stasiun Majalengka 10,108.26
(30) Stasiun Kiaracondong,(14) Universitas Telkom,128.84
(70) Dago Dreampark,(27) Stasiun Bandung,94.38
(65) Babakan Siliwangi,(47) Alun-Alun Bandung,64.21
(2) Mall Sumedang 38,(69) Bandung Trade Centre,74.62
(73) Metro Indah Mall,(63) Stasiun Subang 26,69.81
(64) Universitas Soreang 1,(47) Alun-Alun Bandung,40.85
(40) Terminal Rancaekek 21,(35) Terminal Lembang 17,40.06
(15) Mall Tasikmalaya 40,(41) Universitas Soreang 47,15.78
(40) Terminal Rancaekek 21,(34) Hotel Kuningan 7,31.49
(17) Universitas Purwakarta 22,(15) Mall Tasikmalaya 40,20.84
(45) Terminal Purwakarta 53,(7) Masjid Raya Bandung,108.95
(6) Kebun Binatang Bandung,(24) Alun-Alun Cianjur 3,99.5
(38) Alun-Alun Purwakarta 11,(18) Dago Pakar,13.38
(55) RS Tasikmalaya 50,(48) Gasibu,116.24
(39) Terminal Soreang 2,(51) Museum Asia Afrika,79.94
(95) Trans Studio Bandung,(61) Mall Sumedang 5,50.25
(16) Stasiun Indramayu 9,(18) Dago Pakar,1.74
(9) Terminal Sumedang 46,(27) Stasiun Bandung,121.53
(37) Kiara Artha Park,(76) Mall Soreang 25,105.02
(22) Paskal Hyper Square,(57) Terminal Leuwipanjang,8.74
(83) Stasiun Garut 58,(86) Mall Indramayu 8,103.03
(3) Terminal Cimahi 44,(77) RS Santosa Bandung,55.97
(41) Universitas Soreang 47,(28) GBLA Stadium,103.47
(39) Terminal Soreang 2,(31) Terminal Lembang 14,8.53
(82) RS Hasan Sadikin,(81) Terminal Cicaheum,11.97
(97) Universitas Cirebon 43,(90) Alun-Alun Cianjur 28,30.26
(96) RS Hermina,(50) Lapangan Tegalega,114.33
(96) RS Hermina,(78) Universitas Lembang 15,90.98
(43) Terminal Tasikmalaya 56,(69) Bandung Trade Centre,106.06
(37) Kiara Artha Park,(66) Wisata Lembang 18,88.63
(69) Bandung Trade Centre,(78) Universitas Lembang 15,101.37
(23) Summarecon Mall Bandung,(24) Alun-Alun Cianjur 3,65.53
(11) Braga Citywalk,(91) Universitas Sumedang 55,97.78
(20) RS Santo Borromeus,(18) Dago Pakar,123.82
(81) Terminal Cicaheum,(3) Terminal Cimahi 44,17.38
(89) Institut Teknologi Bandung,(3) Terminal Cimahi 44,23.21
(95) Trans Studio Bandung,(52) Museum Geologi,97.25
(71) Stasiun Indramayu 27,(64) Universitas Soreang 1,85.28
(92) RS Sumedang 32,(24) Alun-Alun Cianjur 3,90.47
(70) Dago Dreampark,(69) Bandung Trade Centre,69.88
(8) Cihampelas Walk,(10) Tahura Djuanda,83.45
(33) Hotel Cirebon 57,(56) Paris Van Java,39.05
(62) Stasiun Kuningan 19,(23) Summarecon Mall Bandung,32.03
(78) Universitas Lembang 15,(9) Terminal Sumedang 46,95.79
(95) Trans Studio Bandung,(89) Institut Teknologi Bandung,19.21
(91) Universitas Sumedang 55,(54) Stasiun Kuningan 13,113.54
(41) Universitas Soreang 47,(18) Dago Pakar,50.1
(31) Terminal Lembang 14,(61) Mall Sumedang 5,1.63
(35) Terminal Lembang 17,(76) Mall Soreang 25,29.82
(20) RS Santo Borromeus,(84) Saung Angklung Udjo,88.89
(45) Terminal Purwakarta 53,(43) Terminal Tasikmalaya 56,19.65
(80) Alun-Alun Bandung 36,(31) Terminal Lembang 14,26.74
(28) GBLA Stadium,(62) Stasiun Kuningan 19,118.55
(16) Stasiun Indramayu 9,(41) Universitas Soreang 47,43.71
(81) Terminal Cicaheum,(33) Hotel Cirebon 57,40.54
(36) Kings Shopping Center,(97) Universitas Cirebon 43,25.79
(3) Terminal Cimahi 44,(81) Terminal Cicaheum,49.92
(75) Stasiun Lembang 35,(13) Terminal Lembang 29,75.4
(24) Alun-Alun Cianjur 3,(92) RS Sumedang 32,37.47
(84) Saung Angklung Udjo,(2) Mall Sumedang 38,104.9
(56) Paris Van Java,(60) Gedung Sate,67.39
(26) Wisata Subang 54,(35) Terminal Lembang 17,124.42
(72) Hotel Cianjur 31,(19) RS Majalengka 41,40.3
(5) Wisata Cirebon 45,(38) Alun-Alun Purwakarta 11,99.35
(68) Universitas Garut 59,(54) Stasiun Kuningan 13,72.96
(77) RS Santosa Bandung,(45) Terminal Purwakarta 53,29.22
(52) Museum Geologi,(26) Wisata Subang 54,107.41
(36) Kings Shopping Center,(41) Universitas Soreang 47,95.6
(82) RS Hasan Sadikin,(59) Hotel Soreang 51,126.65
(36) Kings Shopping Center,(15) Mall Tasikmalaya 40,65.55
(45) Terminal Purwakarta 53,(0) Wisata Garut 42,44.44
(37) Kiara Artha Park,(0) Wisata Garut 42,53.97
(98) Wisata Subang 49,(29) RS Al Islam,55.3
(36) Kings Shopping Center,(96) RS Hermina,117.44
(96) RS Hermina,(67) Mall Indramayu 24,80.99
(84) Saung Angklung Udjo,(23) Summarecon Mall Bandung,60.26
(99) Curug Dago,(16) Stasiun Indramayu 9,63.35
(51) Museum Asia Afrika,(39) Terminal Soreang 2,88.79
(28) GBLA Stadium,(79) Hotel Tasikmalaya 33,8.36
(84) Saung Angklung Udjo,(80) Alun-Alun Bandung 36,67.51
(95) Trans Studio Bandung,(72) Hotel Cianjur 31,121.32
(65) Babakan Siliwangi,(43) Terminal Tasikmalaya 56,137.58
(97) Universitas Cirebon 43,(8) Cihampelas Walk,124.07
(83) Stasiun Garut 58,(26) Wisata Subang 54,138.97
(12) Mall Cimahi 16,(44) Festival Citylink,130.71
(91) Universitas Sumedang 55,(23) Summarecon Mall Bandung,5.91
(27) Stasiun Bandung,(94) Mall Purwakarta 39,50.62
(54) Stasiun Kuningan 13,(8) Cihampelas Walk,13.16
(77) RS Santosa Bandung,(93) Stasiun Majalengka 10,18.5
(50) Lapangan Tegalega,(86) Mall Indramayu 8,131.19
(98) Wisata Subang 49,(65) Babakan Siliwangi,82.5
