Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(22) Hotel Tasikmalaya 58,(166) Universitas Padjadjaran,24.2
(27) Dago Pakar,(126) Terminal Subang 139,59.92
(178) Institut Teknologi Bandung,(65) Hotel Kuningan 128,40.35
(78) Festival Citylink,(53) Mall Sumedang 6,44.94
(45) Hotel Tasikmalaya 92,(166) Universitas Padjadjaran,127.64
(27) Dago Pakar,(40) Stasiun Bandung,97.64
(97) Gasibu,(84) Universitas Garut 101,89.04
(153) RS Hasan Sadikin,(113) Terminal Leuwipanjang,97.3
(185) Wisata Indramayu 127,(50) RS Al Islam,76.12
(185) Wisata Indramayu 127,(3) Bandung Indah Plaza,3.81
(162) Universitas Indramayu 13,(135) Terminal Purwakarta 131,126.75
(143) Hotel Tasikmalaya 37,(121) Alun-Alun Rancaekek 5,76.42
(93) Alun-Alun Bandung,(6) Universitas Indramayu 78,72.82
(140) Hotel Cianjur 148,(178) Institut Teknologi Bandung,119.76
(142) Stasiun Tasikmalaya 72,(99) RS Soreang 34,34.29
(151) Terminal Cicaheum,(101) Museum Asia Afrika,14.58
(11) Kebun Binatang Bandung,(122) Universitas Bandung 35,86.96
(64) Terminal Purwakarta 150,(186) Stasiun Subang 67,12.1
(119) Wisata Rancaekek 108,(184) Universitas Majalengka 88,145.71
(140) Hotel Cianjur 148,(19) Stasiun Cianjur 152,91.49
(14) Mall Sumedang 112,(185) Wisata Indramayu 127,1.06
(65) Hotel Kuningan 128,(145) Hotel Bandung 74,140.2
(155) Wisata Sumedang 141,(131) Stasiun Cirebon 40,4.5
(112) Paris Van Java,(146) Teras Cikapundung,43.51
(49) Alun-Alun Cianjur 149,(132) RS Subang 23,109.83
(10) Wisata Cirebon 45,(37) Summarecon Mall Bandung,57.69
(98) Lapangan Tegalega,(90) Bandung Electronic Center,128.13
(48) Hotel Purwakarta 144,(53) Mall Sumedang 6,148.13
(188) Wisata Cimahi 64,(62) Alun-Alun Cimahi 121,36.68
(141) Metro Indah Mall,(178) Institut Teknologi Bandung,61.8
(105) Alun-Alun Cimahi 126,(116) Wisata Kuningan 1,78.37
(68) Mall Cirebon 15,(65) Hotel Kuningan 128,106.02
(9) Hotel Lembang 3,(6) Universitas Indramayu 78,116.27
(33) Universitas Cianjur 130,(28) Terminal Indramayu 19,15.16
(141) Metro Indah Mall,(46) Alun-Alun Tasikmalaya 66,81.63
(24) Terminal Cianjur 26,(71) Wisata Bandung 79,50.53
(147) Mall Cimahi 94,(57) Universitas Sumedang 36,125.77
(111) Alun-Alun Rancaekek 134,(155) Wisata Sumedang 141,87.6
(133) RS Cirebon 56,(57) Universitas Sumedang 36,11.89
(39) Mall Tasikmalaya 158,(109) RS Kuningan 98,105.85
(144) Mall Garut 80,(180) Universitas Purwakarta 16,116.64
(120) Gedung Sate,(192) RS Hermina,149.34
(141) Metro Indah Mall,(173) Mall Bandung 100,39.62
(93) Alun-Alun Bandung,(188) Wisata Cimahi 64,60.81
(161) Universitas Indramayu 116,(33) Universitas Cianjur 130,42.43
(114) Stasiun Sumedang 50,(189) Hotel Cirebon 69,34.37
(12) Masjid Raya Bandung,(69) Kiara Artha Park,116.31
(167) Mall Indramayu 155,(179) Hotel Garut 156,23.62
(22) Hotel Tasikmalaya 58,(105) Alun-Alun Cimahi 126,66.27
(81) Alun-Alun Soreang 93,(183) RS Garut 146,6.51
(9) Hotel Lembang 3,(4) Hotel Garut 9,4.9
(50) RS Al Islam,(11) Kebun Binatang Bandung,62.36
(50) RS Al Islam,(99) RS Soreang 34,106.59
(58) Hotel Tasikmalaya 52,(37) Summarecon Mall Bandung,141.22
(47) Universitas Sumedang 111,(128) Wisata Majalengka 103,44.34
(195) Mall Tasikmalaya 30,(148) RS Santosa Bandung,5.31
(194) Curug Dago,(110) Universitas Cianjur 133,102.32
(104) RS Soreang 31,(20) Braga Citywalk,128.55
(187) Trans Studio Bandung,(43) Wisata Subang 70,126.34
(144) Mall Garut 80,(22) Hotel Tasikmalaya 58,104.87
(39) Mall Tasikmalaya 158,(189) Hotel Cirebon 69,104.14
(182) Hotel Subang 91,(12) Masjid Raya Bandung,116.08
(130) Terminal Rancaekek 20,(37) Summarecon Mall Bandung,128.9
(160) Alun-Alun Soreang 7,(12) Masjid Raya Bandung,78.91
(117) Hotel Indramayu 38,(8) Mall Lembang 113,111.97
(78) Festival Citylink,(51) Stasiun Kiaracondong,113.14
(32) RS Santo Borromeus,(185) Wisata Indramayu 127,83.69
(96) Wisata Sumedang 137,(184) Universitas Majalengka 88,142.26
(130) Terminal Rancaekek 20,(17) Universitas Cirebon 90,53.67
(28) Terminal Indramayu 19,(45) Hotel Tasikmalaya 92,111.78
(48) Hotel Purwakarta 144,(114) Stasiun Sumedang 50,42.69
(84) Universitas Garut 101,(136) Mall Cirebon 107,72.64
(32) RS Santo Borromeus,(138) Alun-Alun Subang 124,96.16
(73) RS Rancaekek 11,(117) Hotel Indramayu 38,53.26
(185) Wisata Indramayu 127,(87) Mall Rancaekek 138,95.23
(9) Hotel Lembang 3,(73) RS Rancaekek 11,103.87
(67) Mall Rancaekek 8,(10) Wisata Cirebon 45,55.69
(196) RS Garut 61,(76) Hotel Purwakarta 21,96.84
(125) Universitas Kuningan 48,(14) Mall Sumedang 112,112.87
(15) Tahura Djuanda,(137) Dago Dreampark,132.75
(9) Hotel Lembang 3,(193) Wisata Majalengka 140,81.68
(126) Terminal Subang 139,(80) Hotel Garut 89,9.34
(143) Hotel Tasikmalaya 37,(47) Universitas Sumedang 111,56.63
(3) Bandung Indah Plaza,(100) Universitas Bandung 132,65.12
(28) Terminal Indramayu 19,(90) Bandung Electronic Center,92.29
(48) Hotel Purwakarta 144,(87) Mall Rancaekek 138,119.12
(127) Terminal Lembang 129,(13) Cihampelas Walk,18.72
(42) Alun-Alun Majalengka 44,(69) Kiara Artha Park,140.41
(161) Universitas Indramayu 116,(139) Mall Bandung 136,25.65
(111) Alun-Alun Rancaekek 134,(178) Institut Teknologi Bandung,108.24
(190) Mall Cirebon 118,(96) Wisata Sumedang 137,18.25
(86) Hotel Indramayu 51,(175) Stasiun Subang 110,97.43
(131) Stasiun Cirebon 40,(109) RS Kuningan 98,138.69
(145) Hotel Bandung 74,(116) Wisata Kuningan 1,37.64
(65) Hotel Kuningan 128,(130) Terminal Rancaekek 20,118.65
(139) Mall Bandung 136,(73) RS Rancaekek 11,5.72
(88) Mall Cirebon 73,(81) Alun-Alun Soreang 93,97.37
(163) Alun-Alun Kuningan 157,(12) Masjid Raya Bandung,27.95
(199) Hotel Soreang 57,(114) Stasiun Sumedang 50,1.91
(117) Hotel Indramayu 38,(170) RS Cianjur 25,12.37
(107) RS Cirebon 76,(132) RS Subang 23,53.44
(95) Hotel Soreang 42,(5) Stasiun Indramayu 49,52.67
(162) Universitas Indramayu 13,(169) RS Rancaekek 86,37.38
(72) Hotel Rancaekek 135,(136) Mall Cirebon 107,2.87
(150) Stasiun Rancaekek 53,(51) Stasiun Kiaracondong,29.46
(158) Stasiun Bandung 143,(63) Wisata Subang 59,114.11
(117) Hotel Indramayu 38,(73) RS Rancaekek 11,72.74
(94) Universitas Purwakarta 24,(65) Hotel Kuningan 128,7.57
(187) Trans Studio Bandung,(179) Hotel Garut 156,104.25
(71) Wisata Bandung 79,(64) Terminal Purwakarta 150,137.8
(159) RS Cirebon 14,(95) Hotel Soreang 42,34.32
(0) Hotel Soreang 29,(90) Bandung Electronic Center,85.11
(108) Museum Geologi,(21) Hotel Sumedang 2,1.55
(133) RS Cirebon 56,(115) Stasiun Garut 47,98.36
(61) Terminal Cimahi 106,(73) RS Rancaekek 11,116.77
(58) Hotel Tasikmalaya 52,(28) Terminal Indramayu 19,120.22
(86) Hotel Indramayu 51,(149) RS Garut 153,9.37
(125) Universitas Kuningan 48,(155) Wisata Sumedang 141,145.11
(16) Terminal Lembang 68,(115) Stasiun Garut 47,112.34
(29) Stasiun Bandung 119,(93) Alun-Alun Bandung,144.81
(142) Stasiun Tasikmalaya 72,(31) Terminal Indramayu 123,82.28
(145) Hotel Bandung 74,(54) Terminal Sumedang 22,62.69
(189) Hotel Cirebon 69,(24) Terminal Cianjur 26,39.31
(54) Terminal Sumedang 22,(183) RS Garut 146,122.64
(191) Terminal Majalengka 105,(195) Mall Tasikmalaya 30,51.06
(12) Masjid Raya Bandung,(108) Museum Geologi,108.9
(71) Wisata Bandung 79,(96) Wisata Sumedang 137,104.64
(16) Terminal Lembang 68,(107) RS Cirebon 76,146.19
(83) Hotel Bandung 117,(114) Stasiun Sumedang 50,24.68
(127) Terminal Lembang 129,(136) Mall Cirebon 107,23.93
(146) Teras Cikapundung,(22) Hotel Tasikmalaya 58,18.29
(172) Alun-Alun Subang 142,(190) Mall Cirebon 118,68.86
(65) Hotel Kuningan 128,(25) Wisata Cimahi 18,46.19
(149) RS Garut 153,(64) Terminal Purwakarta 150,51.63
(84) Universitas Garut 101,(8) Mall Lembang 113,45.91
(157) Stasiun Majalengka 125,(118) RS Garut 10,43.25
(84) Universitas Garut 101,(53) Mall Sumedang 6,93.35
(51) Stasiun Kiaracondong,(122) Universitas Bandung 35,62.74
(113) Terminal Leuwipanjang,(155) Wisata Sumedang 141,13.28
(30) Alun-Alun Tasikmalaya 65,(123) Wisata Lembang 82,57.8
(171) Mall Tasikmalaya 46,(88) Mall Cirebon 73,42.9
(163) Alun-Alun Kuningan 157,(96) Wisata Sumedang 137,53.89
(156) Stasiun Tasikmalaya 4,(142) Stasiun Tasikmalaya 72,148.51
(159) RS Cirebon 14,(50) RS Al Islam,20.13
(40) Stasiun Bandung,(61) Terminal Cimahi 106,64.96
(152) Hotel Purwakarta 12,(106) Universitas Bandung 85,17.21
(39) Mall Tasikmalaya 158,(97) Gasibu,101.01
(134) Bandung Trade Centre,(53) Mall Sumedang 6,40.61
(73) RS Rancaekek 11,(100) Universitas Bandung 132,89.5
(193) Wisata Majalengka 140,(64) Terminal Purwakarta 150,125.83
(64) Terminal Purwakarta 150,(95) Hotel Soreang 42,17.84
(103) Mall Tasikmalaya 147,(101) Museum Asia Afrika,52.07
(104) RS Soreang 31,(162) Universitas Indramayu 13,74.85
(11) Kebun Binatang Bandung,(51) Stasiun Kiaracondong,148.52
(175) Stasiun Subang 110,(129) Babakan Siliwangi,108.62
(76) Hotel Purwakarta 21,(105) Alun-Alun Cimahi 126,126.41
(107) RS Cirebon 76,(104) RS Soreang 31,124.11
(100) Universitas Bandung 132,(135) Terminal Purwakarta 131,141.05
(177) Hotel Tasikmalaya 145,(7) Hotel Cirebon 159,63.23
(24) Terminal Cianjur 26,(161) Universitas Indramayu 116,72.45
(85) Mall Kuningan 122,(114) Stasiun Sumedang 50,97.91
(6) Universitas Indramayu 78,(125) Universitas Kuningan 48,115.65
(56) Hotel Rancaekek 109,(199) Hotel Soreang 57,69.47
(17) Universitas Cirebon 90,(158) Stasiun Bandung 143,114.32
(128) Wisata Majalengka 103,(181) RS Garut 115,130.88
(91) Stasiun Sumedang 28,(23) Universitas Telkom,91.88
(182) Hotel Subang 91,(97) Gasibu,79.14
(136) Mall Cirebon 107,(137) Dago Dreampark,31.43
(52) RS Cirebon 75,(35) Terminal Kuningan 95,75.14
(180) Universitas Purwakarta 16,(175) Stasiun Subang 110,12.17
(176) Hotel Kuningan 32,(156) Stasiun Tasikmalaya 4,10.06
(141) Metro Indah Mall,(188) Wisata Cimahi 64,106.27
(155) Wisata Sumedang 141,(59) Alun-Alun Cirebon 81,78.84
(117) Hotel Indramayu 38,(53) Mall Sumedang 6,2.71
(107) RS Cirebon 76,(177) Hotel Tasikmalaya 145,128.37
(117) Hotel Indramayu 38,(163) Alun-Alun Kuningan 157,46.56
(178) Institut Teknologi Bandung,(81) Alun-Alun Soreang 93,90.6
(120) Gedung Sate,(174) Mall Majalengka 87,143.21
(0) Hotel Soreang 29,(93) Alun-Alun Bandung,127.3
(128) Wisata Majalengka 103,(92) Stasiun Cirebon 71,55.11
(64) Terminal Purwakarta 150,(87) Mall Rancaekek 138,98.73
(137) Dago Dreampark,(34) Paskal Hyper Square,121.08
(9) Hotel Lembang 3,(22) Hotel Tasikmalaya 58,27.93
(120) Gedung Sate,(32) RS Santo Borromeus,97.73
(181) RS Garut 115,(112) Paris Van Java,70.55
(103) Mall Tasikmalaya 147,(106) Universitas Bandung 85,67.95
(112) Paris Van Java,(130) Terminal Rancaekek 20,93.17
(72) Hotel Rancaekek 135,(95) Hotel Soreang 42,101.29
(78) Festival Citylink,(61) Terminal Cimahi 106,99.63
(91) Stasiun Sumedang 28,(138) Alun-Alun Subang 124,51.22
(71) Wisata Bandung 79,(140) Hotel Cianjur 148,32.08
(91) Stasiun Sumedang 28,(88) Mall Cirebon 73,70.86
(193) Wisata Majalengka 140,(191) Terminal Majalengka 105,118.38
(114) Stasiun Sumedang 50,(88) Mall Cirebon 73,86.31
(85) Mall Kuningan 122,(199) Hotel Soreang 57,24.24
(144) Mall Garut 80,(65) Hotel Kuningan 128,78.05
(23) Universitas Telkom,(20) Braga Citywalk,100.89
(6) Universitas Indramayu 78,(48) Hotel Purwakarta 144,127.49
(129) Babakan Siliwangi,(26) Hotel Majalengka 96,90.6
(132) RS Subang 23,(129) Babakan Siliwangi,84.26
(103) Mall Tasikmalaya 147,(110) Universitas Cianjur 133,110.82
(132) RS Subang 23,(199) Hotel Soreang 57,49.97
(41) Alun-Alun Sumedang 43,(63) Wisata Subang 59,53.33
(118) RS Garut 10,(68) Mall Cirebon 15,124.74
(58) Hotel Tasikmalaya 52,(98) Lapangan Tegalega,6.62
(130) Terminal Rancaekek 20,(30) Alun-Alun Tasikmalaya 65,68.27
(28) Terminal Indramayu 19,(25) Wisata Cimahi 18,125.1
(131) Stasiun Cirebon 40,(168) Mall Rancaekek 17,11.89
(109) RS Kuningan 98,(48) Hotel Purwakarta 144,80.19
(168) Mall Rancaekek 17,(91) Stasiun Sumedang 28,145.01
(78) Festival Citylink,(76) Hotel Purwakarta 21,42.31
(167) Mall Indramayu 155,(7) Hotel Cirebon 159,30.9
(22) Hotel Tasikmalaya 58,(16) Terminal Lembang 68,18.0
(56) Hotel Rancaekek 109,(17) Universitas Cirebon 90,109.0
(25) Wisata Cimahi 18,(88) Mall Cirebon 73,21.85
(118) RS Garut 10,(62) Alun-Alun Cimahi 121,132.75
(140) Hotel Cianjur 148,(188) Wisata Cimahi 64,118.97
(139) Mall Bandung 136,(176) Hotel Kuningan 32,101.97
(142) Stasiun Tasikmalaya 72,(8) Mall Lembang 113,136.41
(5) Stasiun Indramayu 49,(27) Dago Pakar,128.56
(51) Stasiun Kiaracondong,(43) Wisata Subang 70,65.07
(78) Festival Citylink,(187) Trans Studio Bandung,65.89
(107) RS Cirebon 76,(198) Terminal Majalengka 104,148.14
(139) Mall Bandung 136,(106) Universitas Bandung 85,36.96
(82) Terminal Purwakarta 97,(41) Alun-Alun Sumedang 43,43.47
(151) Terminal Cicaheum,(141) Metro Indah Mall,4.07
(33) Universitas Cianjur 130,(76) Hotel Purwakarta 21,134.03
(197) Mall Bandung 151,(137) Dago Dreampark,143.14
(27) Dago Pakar,(84) Universitas Garut 101,32.04
(190) Mall Cirebon 118,(14) Mall Sumedang 112,133.62
(141) Metro Indah Mall,(199) Hotel Soreang 57,149.35
(113) Terminal Leuwipanjang,(107) RS Cirebon 76,110.95
(160) Alun-Alun Soreang 7,(56) Hotel Rancaekek 109,64.32
(26) Hotel Majalengka 96,(54) Terminal Sumedang 22,49.62
(87) Mall Rancaekek 138,(194) Curug Dago,134.54
(65) Hotel Kuningan 128,(29) Stasiun Bandung 119,109.71
(20) Braga Citywalk,(144) Mall Garut 80,85.93
(143) Hotel Tasikmalaya 37,(70) Terminal Rancaekek 60,108.1
(132) RS Subang 23,(94) Universitas Purwakarta 24,143.74
(182) Hotel Subang 91,(82) Terminal Purwakarta 97,55.89
(8) Mall Lembang 113,(195) Mall Tasikmalaya 30,32.82
(84) Universitas Garut 101,(137) Dago Dreampark,94.81
(165) Saung Angklung Udjo,(124) Stasiun Tasikmalaya 154,78.17
(118) RS Garut 10,(64) Terminal Purwakarta 150,29.64
(194) Curug Dago,(191) Terminal Majalengka 105,16.2
(124) Stasiun Tasikmalaya 154,(65) Hotel Kuningan 128,111.04
(73) RS Rancaekek 11,(172) Alun-Alun Subang 142,97.81
(123) Wisata Lembang 82,(62) Alun-Alun Cimahi 121,60.18
(34) Paskal Hyper Square,(137) Dago Dreampark,81.01
(155) Wisata Sumedang 141,(167) Mall Indramayu 155,119.28
(99) RS Soreang 34,(91) Stasiun Sumedang 28,3.65
(156) Stasiun Tasikmalaya 4,(153) RS Hasan Sadikin,104.83
(82) Terminal Purwakarta 97,(47) Universitas Sumedang 111,114.09
(77) Alun-Alun Subang 27,(73) RS Rancaekek 11,88.78
(149) RS Garut 153,(49) Alun-Alun Cianjur 149,70.32
(59) Alun-Alun Cirebon 81,(50) RS Al Islam,119.5
(103) Mall Tasikmalaya 147,(68) Mall Cirebon 15,29.87
(72) Hotel Rancaekek 135,(138) Alun-Alun Subang 124,42.85
(123) Wisata Lembang 82,(184) Universitas Majalengka 88,106.9
(125) Universitas Kuningan 48,(132) RS Subang 23,93.47
(91) Stasiun Sumedang 28,(17) Universitas Cirebon 90,48.26
(35) Terminal Kuningan 95,(119) Wisata Rancaekek 108,3.19
(198) Terminal Majalengka 104,(24) Terminal Cianjur 26,108.55
(184) Universitas Majalengka 88,(7) Hotel Cirebon 159,3.56
(22) Hotel Tasikmalaya 58,(192) RS Hermina,74.58
(162) Universitas Indramayu 13,(82) Terminal Purwakarta 97,138.65
(160) Alun-Alun Soreang 7,(163) Alun-Alun Kuningan 157,85.22
(54) Terminal Sumedang 22,(154) Terminal Indramayu 114,44.25
(86) Hotel Indramayu 51,(129) Babakan Siliwangi,14.71
(120) Gedung Sate,(180) Universitas Purwakarta 16,39.17
(142) Stasiun Tasikmalaya 72,(166) Universitas Padjadjaran,104.08
(59) Alun-Alun Cirebon 81,(177) Hotel Tasikmalaya 145,12.08
(58) Hotel Tasikmalaya 52,(149) RS Garut 153,107.98
(142) Stasiun Tasikmalaya 72,(60) Stasiun Bandung 62,113.06
(68) Mall Cirebon 15,(91) Stasiun Sumedang 28,81.53
(131) Stasiun Cirebon 40,(10) Wisata Cirebon 45,144.5
(10) Wisata Cirebon 45,(114) Stasiun Sumedang 50,143.45
(184) Universitas Majalengka 88,(99) RS Soreang 34,110.09
(163) Alun-Alun Kuningan 157,(97) Gasibu,43.19
(3) Bandung Indah Plaza,(140) Hotel Cianjur 148,148.27
(77) Alun-Alun Subang 27,(19) Stasiun Cianjur 152,82.55
(96) Wisata Sumedang 137,(12) Masjid Raya Bandung,96.58
(55) Universitas Majalengka 99,(10) Wisata Cirebon 45,81.0
(112) Paris Van Java,(69) Kiara Artha Park,114.81
(79) Alun-Alun Cirebon 54,(52) RS Cirebon 75,12.95
(83) Hotel Bandung 117,(43) Wisata Subang 70,92.56
(160) Alun-Alun Soreang 7,(118) RS Garut 10,82.2
(28) Terminal Indramayu 19,(84) Universitas Garut 101,96.74
(20) Braga Citywalk,(19) Stasiun Cianjur 152,9.63
(44) GBLA Stadium,(0) Hotel Soreang 29,132.94
(189) Hotel Cirebon 69,(133) RS Cirebon 56,78.24
(136) Mall Cirebon 107,(103) Mall Tasikmalaya 147,99.08
(156) Stasiun Tasikmalaya 4,(55) Universitas Majalengka 99,56.02
(163) Alun-Alun Kuningan 157,(159) RS Cirebon 14,71.79
(172) Alun-Alun Subang 142,(174) Mall Majalengka 87,129.96
(169) RS Rancaekek 86,(76) Hotel Purwakarta 21,143.61
(48) Hotel Purwakarta 144,(162) Universitas Indramayu 13,48.64
(95) Hotel Soreang 42,(46) Alun-Alun Tasikmalaya 66,114.41
(24) Terminal Cianjur 26,(7) Hotel Cirebon 159,77.83
(172) Alun-Alun Subang 142,(6) Universitas Indramayu 78,137.58
(43) Wisata Subang 70,(144) Mall Garut 80,48.17
(160) Alun-Alun Soreang 7,(144) Mall Garut 80,91.28
(182) Hotel Subang 91,(41) Alun-Alun Sumedang 43,97.36
(125) Universitas Kuningan 48,(72) Hotel Rancaekek 135,48.49
(24) Terminal Cianjur 26,(97) Gasibu,70.72
(29) Stasiun Bandung 119,(96) Wisata Sumedang 137,67.86
(87) Mall Rancaekek 138,(190) Mall Cirebon 118,72.25
(199) Hotel Soreang 57,(130) Terminal Rancaekek 20,114.91
(196) RS Garut 61,(174) Mall Majalengka 87,61.61
(136) Mall Cirebon 107,(84) Universitas Garut 101,87.77
(20) Braga Citywalk,(79) Alun-Alun Cirebon 54,44.4
(151) Terminal Cicaheum,(57) Universitas Sumedang 36,124.05
(36) Terminal Purwakarta 63,(167) Mall Indramayu 155,128.67
(72) Hotel Rancaekek 135,(0) Hotel Soreang 29,82.37
(36) Terminal Purwakarta 63,(169) RS Rancaekek 86,60.38
(173) Mall Bandung 100,(16) Terminal Lembang 68,100.17
(8) Mall Lembang 113,(103) Mall Tasikmalaya 147,145.26
(161) Universitas Indramayu 116,(29) Stasiun Bandung 119,74.05
(168) Mall Rancaekek 17,(42) Alun-Alun Majalengka 44,52.97
(151) Terminal Cicaheum,(32) RS Santo Borromeus,58.42
(25) Wisata Cimahi 18,(64) Terminal Purwakarta 150,64.2
(119) Wisata Rancaekek 108,(105) Alun-Alun Cimahi 126,120.65
(48) Hotel Purwakarta 144,(76) Hotel Purwakarta 21,44.3
(152) Hotel Purwakarta 12,(138) Alun-Alun Subang 124,117.18
(164) Wisata Garut 55,(140) Hotel Cianjur 148,145.03
(137) Dago Dreampark,(125) Universitas Kuningan 48,72.83
