Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(244) Wisata Soreang 161,(276) Wisata Soreang 159,63.08
(166) Alun-Alun Subang 1,(100) Terminal Majalengka 205,106.49
(282) Alun-Alun Cirebon 246,(221) Terminal Garut 183,131.65
(276) Wisata Soreang 159,(187) Mall Bandung 98,54.26
(199) Alun-Alun Sumedang 15,(41) Universitas Soreang 194,94.56
(279) Alun-Alun Cimahi 254,(77) Hotel Garut 247,148.48
(219) Stasiun Cianjur 230,(268) Stasiun Rancaekek 191,35.7
(132) Terminal Subang 118,(157) Alun-Alun Cirebon 143,20.21
(156) Hotel Lembang 241,(85) Terminal Garut 102,87.38
(274) Stasiun Cianjur 216,(225) Saung Angklung Udjo,38.4
(75) GBLA Stadium,(298) Terminal Kuningan 25,13.76
(9) Terminal Rancaekek 18,(148) Museum Asia Afrika,75.4
(271) Stasiun Rancaekek 82,(30) Tahura Djuanda,142.54
(108) Alun-Alun Garut 43,(176) Mall Cirebon 95,100.12
(260) Stasiun Rancaekek 258,(126) Mall Tasikmalaya 234,83.24
(84) Terminal Lembang 19,(271) Stasiun Rancaekek 82,11.92
(252) Alun-Alun Cirebon 87,(0) Mall Kuningan 76,40.85
(214) Universitas Purwakarta 128,(187) Mall Bandung 98,29.15
(204) Mall Tasikmalaya 124,(208) Stasiun Cimahi 172,131.26
(267) Universitas Lembang 100,(137) Gasibu,108.9
(194) Mall Rancaekek 37,(98) Terminal Cianjur 52,11.44
(74) Universitas Cianjur 51,(16) Terminal Indramayu 229,98.42
(123) Wisata Garut 63,(170) Universitas Cirebon 217,99.46
(143) Alun-Alun Cianjur 147,(219) Stasiun Cianjur 230,64.91
(213) Terminal Subang 104,(76) Alun-Alun Cianjur 168,93.32
(78) RS Al Islam,(138) RS Kuningan 38,100.96
(175) Universitas Cimahi 10,(78) RS Al Islam,52.88
(43) Stasiun Purwakarta 169,(103) Mall Lembang 62,33.89
(134) Mall Subang 221,(143) Alun-Alun Cianjur 147,72.7
(200) Alun-Alun Cianjur 80,(71) Wisata Lembang 231,52.29
(261) Mall Sumedang 55,(112) Alun-Alun Subang 203,5.15
(239) Terminal Kuningan 179,(267) Universitas Lembang 100,70.32
(84) Terminal Lembang 19,(109) Kiara Artha Park,12.66
(199) Alun-Alun Sumedang 15,(110) Hotel Kuningan 145,139.01
(250) Universitas Sumedang 223,(203) RS Cimahi 121,136.44
(253) Stasiun Majalengka 42,(66) RS Garut 64,35.75
(139) Lapangan Tegalega,(18) Stasiun Kuningan 130,72.95
(45) RS Cimahi 244,(150) Terminal Garut 120,23.71
(239) Terminal Kuningan 179,(256) Wisata Cianjur 165,109.57
(66) RS Garut 64,(185) Babakan Siliwangi,119.56
(258) Wisata Lembang 135,(48) Wisata Lembang 162,105.45
(192) Metro Indah Mall,(53) Hotel Cianjur 114,2.01
(216) Wisata Subang 111,(102) Wisata Bandung 242,107.16
(105) Wisata Cimahi 86,(157) Alun-Alun Cirebon 143,137.45
(158) Terminal Garut 178,(26) Masjid Raya Bandung,136.11
(31) Stasiun Cianjur 163,(243) Mall Purwakarta 176,83.66
(124) Terminal Garut 92,(242) Mall Garut 78,99.93
(77) Hotel Garut 247,(83) Hotel Kuningan 142,36.37
(56) RS Soreang 16,(245) Mall Bandung 30,69.95
(272) Universitas Cirebon 201,(291) Terminal Garut 167,21.35
(198) Mall Cianjur 116,(4) RS Cianjur 192,61.98
(84) Terminal Lembang 19,(197) RS Santosa Bandung,115.62
(76) Alun-Alun Cianjur 168,(98) Terminal Cianjur 52,28.75
(38) Alun-Alun Garut 112,(288) Terminal Soreang 105,71.77
(19) Terminal Purwakarta 119,(48) Wisata Lembang 162,106.9
(225) Saung Angklung Udjo,(267) Universitas Lembang 100,81.92
(32) Universitas Lembang 212,(22) Alun-Alun Garut 185,86.54
(178) Wisata Garut 173,(232) Terminal Tasikmalaya 155,47.99
(161) RS Kuningan 243,(171) Gedung Sate,24.57
(264) Hotel Cianjur 39,(69) Terminal Indramayu 193,44.78
(103) Mall Lembang 62,(102) Wisata Bandung 242,43.02
(21) Universitas Cimahi 164,(60) Paskal Hyper Square,99.04
(76) Alun-Alun Cianjur 168,(2) Stasiun Tasikmalaya 83,133.06
(25) Kebun Binatang Bandung,(38) Alun-Alun Garut 112,6.7
(19) Terminal Purwakarta 119,(159) Stasiun Subang 157,82.09
(88) Terminal Tasikmalaya 109,(120) Hotel Bandung 73,72.79
(61) Terminal Cirebon 160,(68) RS Purwakarta 81,25.35
(222) Stasiun Kuningan 233,(75) GBLA Stadium,86.74
(294) Wisata Soreang 208,(277) Trans Studio Bandung,47.67
(88) Terminal Tasikmalaya 109,(100) Terminal Majalengka 205,49.28
(271) Stasiun Rancaekek 82,(30) Tahura Djuanda,98.16
(143) Alun-Alun Cianjur 147,(202) Terminal Sumedang 61,119.79
(225) Saung Angklung Udjo,(186) Bandung Trade Centre,52.14
(116) Universitas Lembang 166,(185) Babakan Siliwangi,26.63
(72) Stasiun Bandung,(167) RS Kuningan 158,58.01
(2) Stasiun Tasikmalaya 83,(251) Mall Garut 32,49.77
(280) Alun-Alun Subang 26,(185) Babakan Siliwangi,143.63
(120) Hotel Bandung 73,(19) Terminal Purwakarta 119,66.69
(69) Terminal Indramayu 193,(252) Alun-Alun Cirebon 87,57.16
(90) Mall Soreang 222,(196) Hotel Cirebon 190,133.46
(172) Universitas Kuningan 122,(76) Alun-Alun Cianjur 168,114.11
(233) Alun-Alun Majalengka 47,(26) Masjid Raya Bandung,76.56
(83) Hotel Kuningan 142,(53) Hotel Cianjur 114,96.31
(60) Paskal Hyper Square,(78) RS Al Islam,103.74
(277) Trans Studio Bandung,(215) Alun-Alun Majalengka 4,70.58
(180) RS Purwakarta 225,(229) RS Soreang 195,5.27
(201) Mall Sumedang 79,(17) Hotel Subang 8,63.7
(49) Universitas Indramayu 45,(128) Wisata Majalengka 200,71.8
(50) Alun-Alun Rancaekek 209,(73) Wisata Subang 90,106.03
(124) Terminal Garut 92,(61) Terminal Cirebon 160,78.42
(91) Hotel Cirebon 14,(290) Curug Dago,118.15
(116) Universitas Lembang 166,(275) Mall Lembang 22,53.69
(291) Terminal Garut 167,(106) Kings Shopping Center,81.65
(11) Alun-Alun Indramayu 66,(188) Dago Dreampark,23.86
(150) Terminal Garut 120,(274) Stasiun Cianjur 216,81.1
(5) Bandung Indah Plaza,(48) Wisata Lembang 162,82.15
(55) Terminal Cirebon 60,(119) Festival Citylink,3.0
(159) Stasiun Subang 157,(56) RS Soreang 16,46.75
(192) Metro Indah Mall,(161) RS Kuningan 243,54.54
(116) Universitas Lembang 166,(43) Stasiun Purwakarta 169,98.97
(90) Mall Soreang 222,(118) RS Tasikmalaya 237,67.35
(92) Stasiun Soreang 27,(29) Mall Cimahi 156,147.35
(148) Museum Asia Afrika,(1) Alun-Alun Cianjur 184,107.87
(212) Alun-Alun Rancaekek 65,(158) Terminal Garut 178,55.58
(237) Hotel Sumedang 151,(85) Terminal Garut 102,73.24
(16) Terminal Indramayu 229,(266) RS Lembang 97,79.85
(187) Mall Bandung 98,(159) Stasiun Subang 157,128.18
(154) Museum Geologi,(41) Universitas Soreang 194,76.02
(172) Universitas Kuningan 122,(94) Wisata Soreang 35,14.63
(13) Alun-Alun Rancaekek 127,(108) Alun-Alun Garut 43,147.48
(87) RS Purwakarta 136,(99) Wisata Bandung 188,63.63
(6) Mall Soreang 202,(63) Summarecon Mall Bandung,14.82
(266) RS Lembang 97,(166) Alun-Alun Subang 1,134.66
(180) RS Purwakarta 225,(256) Wisata Cianjur 165,10.58
(234) Stasiun Bandung 9,(266) RS Lembang 97,96.62
(278) Wisata Indramayu 33,(86) Terminal Subang 180,135.05
(25) Kebun Binatang Bandung,(18) Stasiun Kuningan 130,92.32
(200) Alun-Alun Cianjur 80,(82) Universitas Kuningan 71,27.46
(169) Hotel Cianjur 89,(243) Mall Purwakarta 176,67.23
(194) Mall Rancaekek 37,(11) Alun-Alun Indramayu 66,74.05
(299) RS Majalengka 20,(166) Alun-Alun Subang 1,99.49
(25) Kebun Binatang Bandung,(60) Paskal Hyper Square,114.65
(63) Summarecon Mall Bandung,(66) RS Garut 64,52.46
(144) Wisata Kuningan 170,(10) Hotel Cianjur 21,116.72
(247) Wisata Subang 171,(145) Universitas Purwakarta 107,28.85
(102) Wisata Bandung 242,(3) Alun-Alun Sumedang 17,102.05
(195) Teras Cikapundung,(253) Stasiun Majalengka 42,65.93
(253) Stasiun Majalengka 42,(32) Universitas Lembang 212,66.99
(267) Universitas Lembang 100,(231) Hotel Bandung 154,59.68
(101) RS Majalengka 123,(242) Mall Garut 78,28.66
(103) Mall Lembang 62,(149) Hotel Majalengka 129,134.45
(22) Alun-Alun Garut 185,(52) Dago Pakar,123.42
(89) Wisata Kuningan 75,(234) Stasiun Bandung 9,125.0
(189) Mall Purwakarta 49,(241) Universitas Lembang 7,69.12
(3) Alun-Alun Sumedang 17,(208) Stasiun Cimahi 172,102.14
(202) Terminal Sumedang 61,(101) RS Majalengka 123,3.32
(242) Mall Garut 78,(171) Gedung Sate,109.91
(220) RS Rancaekek 126,(168) Alun-Alun Lembang 23,124.12
(234) Stasiun Bandung 9,(152) Wisata Bandung 117,128.67
(287) Stasiun Garut 238,(229) RS Soreang 195,101.49
(125) Wisata Majalengka 207,(166) Alun-Alun Subang 1,66.43
(201) Mall Sumedang 79,(30) Tahura Djuanda,116.66
(242) Mall Garut 78,(9) Terminal Rancaekek 18,38.03
(21) Universitas Cimahi 164,(76) Alun-Alun Cianjur 168,70.07
(259) Wisata Purwakarta 219,(76) Alun-Alun Cianjur 168,139.82
(60) Paskal Hyper Square,(179) Universitas Kuningan 206,48.66
(264) Hotel Cianjur 39,(66) RS Garut 64,5.74
(208) Stasiun Cimahi 172,(4) RS Cianjur 192,70.6
(15) Terminal Indramayu 196,(24) Alun-Alun Kuningan 181,123.01
(77) Hotel Garut 247,(128) Wisata Majalengka 200,139.41
(56) RS Soreang 16,(281) Hotel Indramayu 149,149.74
(261) Mall Sumedang 55,(286) Terminal Cirebon 41,85.02
(282) Alun-Alun Cirebon 246,(140) Terminal Cianjur 50,141.32
(107) Alun-Alun Lembang 46,(150) Terminal Garut 120,36.26
(115) Universitas Sumedang 245,(238) Alun-Alun Soreang 99,136.54
(17) Hotel Subang 8,(65) Stasiun Sumedang 255,126.69
(136) Terminal Garut 24,(205) Terminal Cicaheum,85.78
(236) Alun-Alun Purwakarta 144,(228) Mall Lembang 6,34.09
(255) Hotel Rancaekek 204,(127) Bandung Electronic Center,18.65
(81) Alun-Alun Garut 31,(144) Wisata Kuningan 170,140.66
(61) Terminal Cirebon 160,(272) Universitas Cirebon 201,51.05
(173) Wisata Garut 74,(152) Wisata Bandung 117,33.5
(77) Hotel Garut 247,(220) RS Rancaekek 126,129.91
(65) Stasiun Sumedang 255,(227) RS Sumedang 226,142.9
(57) Stasiun Cimahi 239,(150) Terminal Garut 120,123.04
(162) Universitas Purwakarta 96,(105) Wisata Cimahi 86,124.64
(240) Mall Bandung 250,(89) Wisata Kuningan 75,57.78
(261) Mall Sumedang 55,(147) Terminal Cianjur 259,83.9
(26) Masjid Raya Bandung,(93) Stasiun Bandung 72,76.6
(217) Mall Cirebon 213,(223) Mall Lembang 236,8.54
(111) Hotel Cianjur 103,(290) Curug Dago,15.37
(262) Hotel Indramayu 40,(180) RS Purwakarta 225,50.35
(158) Terminal Garut 178,(155) Mall Majalengka 227,60.41
(22) Alun-Alun Garut 185,(55) Terminal Cirebon 60,56.06
(89) Wisata Kuningan 75,(87) RS Purwakarta 136,135.27
(290) Curug Dago,(192) Metro Indah Mall,102.67
(46) Universitas Telkom,(17) Hotel Subang 8,142.15
(187) Mall Bandung 98,(169) Hotel Cianjur 89,16.25
(246) Hotel Majalengka 13,(129) Alun-Alun Subang 248,94.24
(247) Wisata Subang 171,(281) Hotel Indramayu 149,123.86
(5) Bandung Indah Plaza,(132) Terminal Subang 118,12.92
(248) Stasiun Bandung 174,(286) Terminal Cirebon 41,41.21
(30) Tahura Djuanda,(105) Wisata Cimahi 86,9.1
(58) Alun-Alun Kuningan 91,(103) Mall Lembang 62,148.53
(241) Universitas Lembang 7,(45) RS Cimahi 244,63.62
(103) Mall Lembang 62,(76) Alun-Alun Cianjur 168,142.57
(35) Wisata Kuningan 141,(182) Mall Kuningan 29,141.34
(13) Alun-Alun Rancaekek 127,(71) Wisata Lembang 231,3.21
(23) RS Lembang 132,(293) RS Cirebon 249,2.94
(197) RS Santosa Bandung,(225) Saung Angklung Udjo,60.81
(25) Kebun Binatang Bandung,(90) Mall Soreang 222,64.18
(294) Wisata Soreang 208,(211) Hotel Lembang 139,24.1
(126) Mall Tasikmalaya 234,(8) Universitas Kuningan 228,97.19
(179) Universitas Kuningan 206,(48) Wisata Lembang 162,84.08
(72) Stasiun Bandung,(219) Stasiun Cianjur 230,58.81
(275) Mall Lembang 22,(10) Hotel Cianjur 21,147.95
(289) Terminal Subang 198,(95) Wisata Rancaekek 2,34.52
(222) Stasiun Kuningan 233,(87) RS Purwakarta 136,8.41
(146) Mall Purwakarta 214,(119) Festival Citylink,24.09
(49) Universitas Indramayu 45,(136) Terminal Garut 24,91.05
(145) Universitas Purwakarta 107,(21) Universitas Cimahi 164,23.96
(282) Alun-Alun Cirebon 246,(123) Wisata Garut 63,125.47
(220) RS Rancaekek 126,(107) Alun-Alun Lembang 46,137.48
(256) Wisata Cianjur 165,(204) Mall Tasikmalaya 124,3.31
(225) Saung Angklung Udjo,(237) Hotel Sumedang 151,68.73
(107) Alun-Alun Lembang 46,(134) Mall Subang 221,118.69
(224) Wisata Cianjur 251,(177) Terminal Lembang 137,31.08
(55) Terminal Cirebon 60,(273) Hotel Indramayu 189,37.21
(32) Universitas Lembang 212,(220) RS Rancaekek 126,22.8
(272) Universitas Cirebon 201,(87) RS Purwakarta 136,124.42
(65) Stasiun Sumedang 255,(178) Wisata Garut 173,149.65
(72) Stasiun Bandung,(78) RS Al Islam,146.58
(233) Alun-Alun Majalengka 47,(123) Wisata Garut 63,39.29
(218) Terminal Indramayu 152,(118) RS Tasikmalaya 237,10.67
(32) Universitas Lembang 212,(296) Alun-Alun Bandung 235,106.9
(272) Universitas Cirebon 201,(241) Universitas Lembang 7,56.65
(48) Wisata Lembang 162,(202) Terminal Sumedang 61,12.28
(50) Alun-Alun Rancaekek 209,(161) RS Kuningan 243,148.5
(183) Alun-Alun Garut 175,(205) Terminal Cicaheum,90.54
(52) Dago Pakar,(59) Terminal Bandung 146,50.47
(69) Terminal Indramayu 193,(130) Alun-Alun Bandung,141.98
(280) Alun-Alun Subang 26,(270) Terminal Cianjur 48,22.2
(96) Universitas Lembang 70,(225) Saung Angklung Udjo,15.11
(169) Hotel Cianjur 89,(198) Mall Cianjur 116,122.27
(162) Universitas Purwakarta 96,(218) Terminal Indramayu 152,124.85
(253) Stasiun Majalengka 42,(237) Hotel Sumedang 151,29.23
(193) Wisata Bandung 28,(8) Universitas Kuningan 228,94.25
(276) Wisata Soreang 159,(1) Alun-Alun Cianjur 184,58.98
(274) Stasiun Cianjur 216,(257) Terminal Sumedang 240,146.11
(159) Stasiun Subang 157,(272) Universitas Cirebon 201,90.02
(111) Hotel Cianjur 103,(102) Wisata Bandung 242,22.52
(257) Terminal Sumedang 240,(192) Metro Indah Mall,124.18
(222) Stasiun Kuningan 233,(46) Universitas Telkom,90.93
(18) Stasiun Kuningan 130,(29) Mall Cimahi 156,75.37
(39) Alun-Alun Soreang 44,(195) Teras Cikapundung,100.96
(130) Alun-Alun Bandung,(214) Universitas Purwakarta 128,118.56
(29) Mall Cimahi 156,(292) Wisata Cianjur 187,97.02
(80) Stasiun Kiaracondong,(137) Gasibu,119.76
(123) Wisata Garut 63,(18) Stasiun Kuningan 130,13.41
(292) Wisata Cianjur 187,(19) Terminal Purwakarta 119,148.66
(60) Paskal Hyper Square,(233) Alun-Alun Majalengka 47,24.39
(61) Terminal Cirebon 160,(295) Mall Tasikmalaya 5,44.88
(70) RS Sumedang 53,(171) Gedung Sate,148.62
(96) Universitas Lembang 70,(22) Alun-Alun Garut 185,10.6
(242) Mall Garut 78,(288) Terminal Soreang 105,57.74
(13) Alun-Alun Rancaekek 127,(292) Wisata Cianjur 187,118.2
(71) Wisata Lembang 231,(156) Hotel Lembang 241,17.3
(144) Wisata Kuningan 170,(58) Alun-Alun Kuningan 91,4.21
(221) Terminal Garut 183,(202) Terminal Sumedang 61,19.65
(296) Alun-Alun Bandung 235,(261) Mall Sumedang 55,102.35
(278) Wisata Indramayu 33,(162) Universitas Purwakarta 96,93.79
(19) Terminal Purwakarta 119,(262) Hotel Indramayu 40,135.06
(239) Terminal Kuningan 179,(160) Terminal Tasikmalaya 177,69.44
(9) Terminal Rancaekek 18,(216) Wisata Subang 111,141.92
(114) Mall Subang 253,(174) Terminal Kuningan 115,30.49
(93) Stasiun Bandung 72,(228) Mall Lembang 6,147.16
(51) Alun-Alun Subang 54,(71) Wisata Lembang 231,141.08
(140) Terminal Cianjur 50,(128) Wisata Majalengka 200,16.98
(69) Terminal Indramayu 193,(295) Mall Tasikmalaya 5,84.12
(74) Universitas Cianjur 51,(201) Mall Sumedang 79,9.88
(289) Terminal Subang 198,(134) Mall Subang 221,36.88
(89) Wisata Kuningan 75,(69) Terminal Indramayu 193,132.96
(201) Mall Sumedang 79,(224) Wisata Cianjur 251,52.24
(297) Alun-Alun Subang 134,(26) Masjid Raya Bandung,52.2
(103) Mall Lembang 62,(143) Alun-Alun Cianjur 147,98.44
(63) Summarecon Mall Bandung,(274) Stasiun Cianjur 216,125.74
(184) Mall Sumedang 77,(216) Wisata Subang 111,127.17
(268) Stasiun Rancaekek 191,(281) Hotel Indramayu 149,14.76
(219) Stasiun Cianjur 230,(240) Mall Bandung 250,21.82
(240) Mall Bandung 250,(294) Wisata Soreang 208,25.97
(290) Curug Dago,(85) Terminal Garut 102,103.63
(174) Terminal Kuningan 115,(36) Mall Rancaekek 148,54.88
(2) Stasiun Tasikmalaya 83,(281) Hotel Indramayu 149,78.91
(67) Wisata Sumedang 94,(276) Wisata Soreang 159,52.4
(279) Alun-Alun Cimahi 254,(232) Terminal Tasikmalaya 155,89.77
(26) Masjid Raya Bandung,(68) RS Purwakarta 81,48.26
(295) Mall Tasikmalaya 5,(232) Terminal Tasikmalaya 155,28.87
(121) RS Cirebon 11,(111) Hotel Cianjur 103,95.96
(251) Mall Garut 32,(44) Mall Bandung 153,126.09
(265) Mall Kuningan 110,(150) Terminal Garut 120,138.0
(231) Hotel Bandung 154,(133) Wisata Lembang 34,138.31
(203) RS Cimahi 121,(103) Mall Lembang 62,68.16
(97) Universitas Bandung 131,(41) Universitas Soreang 194,96.31
(195) Teras Cikapundung,(218) Terminal Indramayu 152,119.47
(199) Alun-Alun Sumedang 15,(177) Terminal Lembang 137,32.45
(211) Hotel Lembang 139,(273) Hotel Indramayu 189,117.72
(53) Hotel Cianjur 114,(82) Universitas Kuningan 71,147.17
(210) Hotel Tasikmalaya 12,(199) Alun-Alun Sumedang 15,118.63
(226) Universitas Padjadjaran,(114) Mall Subang 253,83.92
(216) Wisata Subang 111,(247) Wisata Subang 171,25.02
(142) Hotel Sumedang 138,(27) Stasiun Soreang 150,124.52
(4) RS Cianjur 192,(16) Terminal Indramayu 229,122.04
(155) Mall Majalengka 227,(185) Babakan Siliwangi,38.64
(200) Alun-Alun Cianjur 80,(71) Wisata Lembang 231,48.39
(60) Paskal Hyper Square,(43) Stasiun Purwakarta 169,38.82
(275) Mall Lembang 22,(268) Stasiun Rancaekek 191,49.76
(204) Mall Tasikmalaya 124,(136) Terminal Garut 24,131.29
(168) Alun-Alun Lembang 23,(297) Alun-Alun Subang 134,24.92
(108) Alun-Alun Garut 43,(207) Terminal Tasikmalaya 88,36.61
(83) Hotel Kuningan 142,(109) Kiara Artha Park,116.94
(91) Hotel Cirebon 14,(45) RS Cimahi 244,66.08
(164) Terminal Leuwipanjang,(162) Universitas Purwakarta 96,82.37
(62) Universitas Majalengka 59,(175) Universitas Cimahi 10,94.24
(75) GBLA Stadium,(71) Wisata Lembang 231,82.58
(92) Stasiun Soreang 27,(29) Mall Cimahi 156,133.82
(242) Mall Garut 78,(193) Wisata Bandung 28,29.02
(27) Stasiun Soreang 150,(282) Alun-Alun Cirebon 246,24.62
(5) Bandung Indah Plaza,(96) Universitas Lembang 70,118.62
(84) Terminal Lembang 19,(172) Universitas Kuningan 122,65.42
(64) Wisata Majalengka 182,(158) Terminal Garut 178,27.06
(272) Universitas Cirebon 201,(288) Terminal Soreang 105,32.59
(146) Mall Purwakarta 214,(274) Stasiun Cianjur 216,136.32
(129) Alun-Alun Subang 248,(209) Hotel Subang 210,120.33
(156) Hotel Lembang 241,(182) Mall Kuningan 29,8.95
(134) Mall Subang 221,(19) Terminal Purwakarta 119,57.56
(26) Masjid Raya Bandung,(245) Mall Bandung 30,26.62
(1) Alun-Alun Cianjur 184,(122) RS Subang 256,2.63
(156) Hotel Lembang 241,(112) Alun-Alun Subang 203,98.64
(157) Alun-Alun Cirebon 143,(202) Terminal Sumedang 61,17.76
(48) Wisata Lembang 162,(101) RS Majalengka 123,12.48
(79) Stasiun Indramayu 140,(29) Mall Cimahi 156,132.06
(232) Terminal Tasikmalaya 155,(20) Wisata Soreang 197,54.21
(46) Universitas Telkom,(269) Hotel Cirebon 186,95.88
(154) Museum Geologi,(234) Stasiun Bandung 9,146.38
(0) Mall Kuningan 76,(46) Universitas Telkom,88.71
(198) Mall Cianjur 116,(57) Stasiun Cimahi 239,31.02
(46) Universitas Telkom,(76) Alun-Alun Cianjur 168,5.84
(50) Alun-Alun Rancaekek 209,(169) Hotel Cianjur 89,104.96
(178) Wisata Garut 173,(10) Hotel Cianjur 21,103.65
(12) Hotel Purwakarta 101,(280) Alun-Alun Subang 26,24.59
(252) Alun-Alun Cirebon 87,(170) Universitas Cirebon 217,18.91
(136) Terminal Garut 24,(194) Mall Rancaekek 37,100.47
(235) Alun-Alun Cimahi 106,(122) RS Subang 256,19.46
(40) Universitas Subang 218,(187) Mall Bandung 98,50.72
(282) Alun-Alun Cirebon 246,(13) Alun-Alun Rancaekek 127,148.81
(78) RS Al Islam,(231) Hotel Bandung 154,66.56
(254) RS Cimahi 199,(227) RS Sumedang 226,44.52
(32) Universitas Lembang 212,(273) Hotel Indramayu 189,110.81
(13) Alun-Alun Rancaekek 127,(91) Hotel Cirebon 14,36.48
(226) Universitas Padjadjaran,(42) Braga Citywalk,36.05
(1) Alun-Alun Cianjur 184,(8) Universitas Kuningan 228,135.03
(236) Alun-Alun Purwakarta 144,(120) Hotel Bandung 73,106.55
(261) Mall Sumedang 55,(248) Stasiun Bandung 174,55.56
(111) Hotel Cianjur 103,(145) Universitas Purwakarta 107,144.64
(75) GBLA Stadium,(51) Alun-Alun Subang 54,67.39
