Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(155) Alun-Alun Bandung 266,(428) RS Purwakarta 70,110.7
(17) Mall Kuningan 362,(321) Museum Geologi,106.52
(323) Mall Cianjur 270,(389) Alun-Alun Rancaekek 131,10.65
(314) Alun-Alun Cianjur 31,(263) Mall Cianjur 65,124.39
(214) Universitas Kuningan 160,(189) Alun-Alun Lembang 357,102.63
(79) Stasiun Purwakarta 220,(93) Alun-Alun Rancaekek 457,146.5
(101) Alun-Alun Majalengka 307,(285) Stasiun Indramayu 157,59.72
(63) Alun-Alun Majalengka 454,(168) Mall Subang 316,43.4
(321) Museum Geologi,(309) Mall Kuningan 309,144.31
(281) Stasiun Kuningan 381,(154) Terminal Garut 329,143.21
(26) Paskal Hyper Square,(374) Alun-Alun Soreang 252,37.6
(24) Universitas Soreang 222,(379) Wisata Garut 205,21.33
(460) Universitas Soreang 367,(319) Alun-Alun Garut 430,62.44
(286) Stasiun Cimahi 378,(2) Stasiun Soreang 102,31.65
(250) Alun-Alun Cirebon 409,(261) Hotel Lembang 247,6.43
(263) Mall Cianjur 65,(48) Mall Soreang 299,4.67
(208) Wisata Garut 281,(299) Stasiun Rancaekek 98,91.46
(242) Terminal Tasikmalaya 280,(227) Mall Purwakarta 204,73.66
(225) Hotel Kuningan 144,(339) Universitas Majalengka 149,111.65
(2) Stasiun Soreang 102,(450) Terminal Soreang 219,64.49
(104) Universitas Lembang 294,(51) Mall Soreang 130,33.45
(276) Alun-Alun Garut 126,(411) Hotel Purwakarta 451,74.14
(186) Hotel Subang 54,(138) Stasiun Soreang 253,140.68
(38) RS Lembang 441,(446) Lapangan Tegalega,77.78
(154) Terminal Garut 329,(436) Terminal Lembang 259,87.87
(333) Wisata Purwakarta 229,(120) Terminal Bandung 368,52.54
(142) Universitas Rancaekek 56,(466) RS Lembang 94,49.24
(391) Hotel Cimahi 374,(352) Mall Soreang 343,49.37
(258) Mall Purwakarta 262,(97) Stasiun Majalengka 174,130.24
(460) Universitas Soreang 367,(72) Hotel Bandung 152,64.09
(462) Universitas Bandung 207,(291) Alun-Alun Tasikmalaya 37,148.43
(272) Wisata Garut 170,(44) Mall Subang 398,96.27
(31) Mall Indramayu 422,(231) Mall Bandung 408,21.82
(393) Stasiun Rancaekek 90,(357) Alun-Alun Sumedang 42,2.04
(396) RS Lembang 132,(448) Universitas Cirebon 25,146.5
(75) Alun-Alun Bandung 119,(394) Universitas Majalengka 150,100.48
(334) Wisata Cianjur 274,(482) Wisata Tasikmalaya 6,100.64
(495) Alun-Alun Kuningan 314,(73) Hotel Majalengka 427,24.47
(349) Wisata Bandung 29,(209) Stasiun Kuningan 446,39.84
(344) Stasiun Kuningan 10,(295) Mall Indramayu 445,26.84
(438) Terminal Purwakarta 308,(482) Wisata Tasikmalaya 6,20.26
(449) Wisata Rancaekek 196,(48) Mall Soreang 299,95.07
(412) RS Majalengka 227,(87) Babakan Siliwangi,9.39
(214) Universitas Kuningan 160,(406) RS Purwakarta 21,91.61
(107) RS Cianjur 414,(279) Terminal Garut 209,15.22
(174) Wisata Majalengka 302,(260) Hotel Sumedang 403,124.1
(227) Mall Purwakarta 204,(280) Stasiun Rancaekek 393,85.76
(74) Terminal Soreang 27,(488) Alun-Alun Lembang 400,52.11
(349) Wisata Bandung 29,(423) Terminal Cianjur 80,61.25
(271) RS Lembang 235,(452) RS Tasikmalaya 433,62.21
(177) Mall Bandung 134,(430) RS Garut 363,146.05
(335) Hotel Tasikmalaya 263,(306) Hotel Tasikmalaya 178,74.75
(452) RS Tasikmalaya 433,(139) Terminal Garut 283,39.66
(287) Alun-Alun Kuningan 83,(251) Terminal Subang 85,2.53
(167) RS Soreang 139,(200) RS Majalengka 142,51.31
(132) Wisata Tasikmalaya 92,(216) Terminal Indramayu 426,87.41
(483) Hotel Majalengka 388,(258) Mall Purwakarta 262,135.23
(154) Terminal Garut 329,(71) Museum Asia Afrika,57.8
(104) Universitas Lembang 294,(340) Stasiun Tasikmalaya 370,68.07
(466) RS Lembang 94,(276) Alun-Alun Garut 126,16.18
(449) Wisata Rancaekek 196,(84) Mall Subang 187,18.94
(19) RS Subang 28,(84) Mall Subang 187,137.62
(317) RS Kuningan 221,(109) Terminal Cirebon 225,92.21
(44) Mall Subang 398,(34) Hotel Lembang 7,27.87
(374) Alun-Alun Soreang 252,(256) Terminal Purwakarta 203,45.26
(293) Wisata Tasikmalaya 215,(273) Hotel Cianjur 97,118.98
(139) Terminal Garut 283,(10) RS Lembang 429,90.93
(424) Hotel Garut 237,(398) Wisata Tasikmalaya 137,141.0
(298) Alun-Alun Lembang 243,(304) Kiara Artha Park,52.37
(455) Wisata Sumedang 361,(372) Universitas Sumedang 434,35.54
(321) Museum Geologi,(70) Mall Rancaekek 312,98.66
(76) Paris Van Java,(312) Mall Indramayu 234,14.4
(434) Mall Tasikmalaya 293,(369) Wisata Cirebon 140,149.79
(475) RS Cianjur 77,(299) Stasiun Rancaekek 98,96.25
(107) RS Cianjur 414,(88) Hotel Cimahi 13,67.35
(148) Terminal Majalengka 272,(289) RS Al Islam,99.05
(123) Mall Bandung 202,(184) Alun-Alun Bandung 113,77.39
(220) RS Santosa Bandung,(486) Mall Sumedang 184,58.01
(434) Mall Tasikmalaya 293,(118) Universitas Soreang 356,42.95
(472) Teras Cikapundung,(370) Wisata Cirebon 48,101.57
(439) RS Bandung 212,(309) Mall Kuningan 309,98.69
(108) Saung Angklung Udjo,(361) Stasiun Tasikmalaya 267,36.35
(294) Universitas Bandung 390,(352) Mall Soreang 343,17.07
(190) Universitas Cimahi 169,(129) Alun-Alun Garut 26,104.35
(391) Hotel Cimahi 374,(118) Universitas Soreang 356,18.31
(455) Wisata Sumedang 361,(320) Terminal Bandung 175,24.37
(81) Terminal Cirebon 182,(11) Alun-Alun Majalengka 57,49.92
(262) Universitas Sumedang 369,(125) RS Rancaekek 310,102.73
(471) Stasiun Bandung 185,(16) RS Tasikmalaya 217,116.59
(484) Hotel Cianjur 321,(179) RS Tasikmalaya 208,7.25
(191) Hotel Subang 305,(105) Hotel Sumedang 228,125.82
(67) Mall Majalengka 179,(108) Saung Angklung Udjo,41.21
(199) Universitas Kuningan 1,(438) Terminal Purwakarta 308,7.47
(125) RS Rancaekek 310,(437) Universitas Cimahi 12,50.17
(133) Terminal Cianjur 391,(386) Bandung Indah Plaza,103.76
(408) RS Indramayu 194,(374) Alun-Alun Soreang 252,14.9
(333) Wisata Purwakarta 229,(8) Alun-Alun Soreang 115,30.49
(306) Hotel Tasikmalaya 178,(49) Hotel Kuningan 105,145.83
(27) Stasiun Majalengka 355,(264) Hotel Cirebon 236,132.09
(364) Alun-Alun Cianjur 301,(487) Wisata Indramayu 121,116.12
(71) Museum Asia Afrika,(303) RS Cirebon 231,40.68
(283) Mall Cimahi 300,(151) Wisata Soreang 447,96.39
(421) Universitas Majalengka 99,(342) Terminal Kuningan 412,127.59
(300) Mall Rancaekek 246,(362) Universitas Padjadjaran,22.74
(469) RS Tasikmalaya 62,(248) Universitas Subang 350,9.41
(288) Stasiun Kuningan 100,(110) RS Kuningan 14,19.0
(39) Terminal Rancaekek 298,(26) Paskal Hyper Square,61.06
(246) Mall Cimahi 17,(100) Hotel Subang 396,108.08
(64) Alun-Alun Indramayu 72,(469) RS Tasikmalaya 62,33.25
(451) Mall Indramayu 417,(453) Alun-Alun Indramayu 135,147.5
(238) Wisata Majalengka 138,(492) Mall Lembang 290,39.63
(395) Stasiun Indramayu 439,(265) RS Garut 436,80.55
(36) Wisata Bandung 404,(405) Universitas Telkom,118.55
(2) Stasiun Soreang 102,(132) Wisata Tasikmalaya 92,75.99
(3) Stasiun Kuningan 336,(348) Stasiun Soreang 223,84.16
(405) Universitas Telkom,(18) Alun-Alun Purwakarta 315,25.71
(231) Mall Bandung 408,(87) Babakan Siliwangi,108.36
(317) RS Kuningan 221,(307) Hotel Kuningan 371,88.54
(309) Mall Kuningan 309,(166) Wisata Soreang 415,3.72
(22) RS Santo Borromeus,(317) RS Kuningan 221,135.38
(444) Bandung Electronic Center,(222) Stasiun Purwakarta 40,132.49
(50) Wisata Rancaekek 5,(175) Mall Bandung 345,128.28
(293) Wisata Tasikmalaya 215,(430) RS Garut 363,44.0
(38) RS Lembang 441,(362) Universitas Padjadjaran,45.12
(468) Metro Indah Mall,(327) Stasiun Cianjur 382,65.79
(122) Curug Dago,(174) Wisata Majalengka 302,74.53
(356) RS Rancaekek 416,(346) Wisata Lembang 74,6.29
(98) Terminal Sumedang 18,(91) Mall Cianjur 289,17.97
(122) Curug Dago,(455) Wisata Sumedang 361,48.14
(137) RS Bandung 268,(219) Stasiun Tasikmalaya 118,70.89
(217) Universitas Tasikmalaya 211,(455) Wisata Sumedang 361,60.6
(456) Mall Cirebon 320,(21) RS Sumedang 177,18.72
(101) Alun-Alun Majalengka 307,(490) Universitas Tasikmalaya 71,131.27
(439) RS Bandung 212,(314) Alun-Alun Cianjur 31,50.8
(297) Wisata Soreang 340,(164) RS Tasikmalaya 399,63.82
(389) Alun-Alun Rancaekek 131,(457) Hotel Kuningan 183,71.83
(434) Mall Tasikmalaya 293,(442) Stasiun Sumedang 133,49.34
(456) Mall Cirebon 320,(248) Universitas Subang 350,26.97
(111) Institut Teknologi Bandung,(428) RS Purwakarta 70,74.43
(289) RS Al Islam,(147) Alun-Alun Kuningan 23,38.86
(332) Universitas Kuningan 122,(283) Mall Cimahi 300,12.51
(403) RS Garut 91,(41) RS Tasikmalaya 218,29.75
(75) Alun-Alun Bandung 119,(489) Terminal Subang 53,65.79
(345) Mall Rancaekek 104,(430) RS Garut 363,74.58
(440) Stasiun Bandung 366,(359) Terminal Cianjur 258,84.16
(37) Stasiun Kiaracondong,(148) Terminal Majalengka 272,99.53
(218) RS Lembang 359,(482) Wisata Tasikmalaya 6,45.6
(398) Wisata Tasikmalaya 137,(337) Hotel Cirebon 158,52.04
(181) Alun-Alun Cimahi 206,(103) Wisata Rancaekek 120,137.7
(208) Wisata Garut 281,(418) RS Rancaekek 411,30.57
(416) Hotel Purwakarta 257,(142) Universitas Rancaekek 56,58.11
(48) Mall Soreang 299,(112) Wisata Cirebon 76,77.7
(156) Mall Lembang 39,(239) Terminal Tasikmalaya 405,107.35
(206) Terminal Lembang 129,(69) Hotel Cirebon 277,141.02
(478) RS Lembang 256,(499) RS Majalengka 107,107.57
(491) Mall Lembang 22,(470) Stasiun Lembang 348,66.02
(241) RS Subang 165,(136) Universitas Soreang 333,6.52
(30) Universitas Tasikmalaya 33,(51) Mall Soreang 130,98.19
(219) Stasiun Tasikmalaya 118,(202) Mall Indramayu 146,91.84
(427) RS Purwakarta 342,(337) Hotel Cirebon 158,101.22
(222) Stasiun Purwakarta 40,(22) RS Santo Borromeus,28.84
(50) Wisata Rancaekek 5,(445) Wisata Soreang 319,60.41
(18) Alun-Alun Purwakarta 315,(489) Terminal Subang 53,138.95
(388) Terminal Tasikmalaya 181,(499) RS Majalengka 107,6.39
(189) Alun-Alun Lembang 357,(59) Hotel Sumedang 186,86.95
(81) Terminal Cirebon 182,(76) Paris Van Java,106.4
(82) Terminal Lembang 278,(47) Stasiun Kuningan 128,76.88
(165) Terminal Kuningan 60,(158) Terminal Bandung 141,11.22
(125) RS Rancaekek 310,(436) Terminal Lembang 259,138.38
(263) Mall Cianjur 65,(148) Terminal Majalengka 272,24.22
(313) Hotel Kuningan 59,(222) Stasiun Purwakarta 40,125.92
(366) RS Garut 311,(86) Wisata Tasikmalaya 148,64.68
(128) Wisata Majalengka 162,(123) Mall Bandung 202,134.83
(291) Alun-Alun Tasikmalaya 37,(132) Wisata Tasikmalaya 92,6.6
(117) Hotel Kuningan 285,(229) Mall Cimahi 47,117.38
(302) Universitas Cimahi 147,(178) Wisata Purwakarta 397,63.11
(446) Lapangan Tegalega,(360) Terminal Tasikmalaya 449,114.19
(344) Stasiun Kuningan 10,(339) Universitas Majalengka 149,94.65
(348) Stasiun Soreang 223,(369) Wisata Cirebon 140,118.36
(192) Wisata Cirebon 2,(100) Hotel Subang 396,39.1
(498) RS Bandung 172,(16) RS Tasikmalaya 217,17.52
(158) Terminal Bandung 141,(140) Universitas Soreang 450,57.56
(75) Alun-Alun Bandung 119,(96) RS Bandung 407,99.25
(59) Hotel Sumedang 186,(134) Hotel Rancaekek 442,14.9
